processes, process_1_load, process_2_load, process_3_load, process_4_load, process_5_load, process_6_load, process_7_load, cpu, communication, I/O, total
2, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0,  35.608606, 35.607446, 35.626099, 0.283757, 35.910275, 
3, 0.0, 0.0, 0.0, 0.0, 0.0,  17.723473, 17.723890, 18.512584, 17.752866, 0.250752, 18.793273, 
4, 0.0, 0.0, 0.0, 0.0,  15.517270, 15.516962, 15.516746, 15.516351, 15.547393, 0.283716, 15.831522, 
6, 0.0, 0.0,  15.651433, 15.651507, 15.651796, 15.650951, 15.651346, 15.651226, 15.687202, 0.257113, 15.944762, 
8,  15.744723, 15.744638, 15.744785, 15.744699, 15.744303, 15.744575, 15.744174, 15.744082, 17.446170, 0.238265, 17.684922, 
