threads, thread_1_load, thread_2_load, thread_3_load, thread_4_load, thread_5_load, thread_6_load, thread_7_load, thread_8_load, thread_9_load, thread_10_load, thread_11_load, thread_12_load, cpu, lock, I/O, total
1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0,  2.839056, 2.959802, 0.115629, 0.172043, 3.131847, 
2, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0,  1.423923, 1.444897, 1.452111, 0.081475, 0.161917, 1.614031, 
4, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0,  0.724955, 0.724860, 0.724806, 0.723421, 0.729746, 0.009454, 0.129050, 0.858798, 
6, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0,  0.475091, 0.474843, 0.474875, 0.474682, 0.474950, 0.474731, 0.479150, 0.001584, 0.128983, 0.608135, 
8, 0.0, 0.0, 0.0, 0.0,  0.445735, 0.435720, 0.445613, 0.455500, 0.435737, 0.455729, 0.425739, 0.459328, 0.464291, 0.000925, 0.157299, 0.621591, 
12,  0.264683, 0.264781, 0.265273, 0.244052, 0.265381, 0.244047, 0.264170, 0.265214, 0.243919, 0.264338, 0.265161, 0.265371, 0.271814, 0.000235, 0.129325, 0.401141, 
