verteice, computing, H2D, D2H, I/O Read, I/O Write, execution time
500,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000, 0.000000
777,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000, 0.000000
2100,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000, 0.000000
3000,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000, 0.000000
5000,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000, 0.000000
11000,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000, 0.000000
