verteice, computing, H2D, D2H, I/O Read, I/O Write, Communication, execution time
500,	4.436288,	0.330752,	0.089024,	4.733568,	1.230816,	0.000000, 10.820448
777,	8.174528,	0.454144,	0.208160,	15.690816,	3.006976,	0.000000, 27.534624
2100,	63.281921,	1.819840,	1.367360,	59.641823,	20.963009,	0.000000, 147.073959
3000,	167.135971,	3.337568,	2.779040,	117.121407,	44.291870,	0.000000, 334.665863
2100,	42.670849,	1.835232,	1.376544,	118.392860,	26.067904,	0.000000, 190.343384
