verteice, computing, H2D, D2H, I/O Read, I/O Write, Communication, execution time
160,	1.193440,	0.000000,	0.027168,	1.025056,	0.338688,	0.140256, 2.724608
500,	4.245888,	0.000000,	0.136192,	2.355104,	1.283552,	0.535904, 8.556640
777,	7.326112,	0.000000,	0.305376,	6.457760,	3.162624,	1.004384, 18.256254
2100,	39.793758,	0.000000,	2.052128,	64.689758,	21.609280,	4.404927, 132.549850
3000,	98.785980,	0.000000,	4.144704,	75.207939,	43.516289,	8.021279, 229.676193
6000,	471.861969,	0.000000,	16.533216,	360.282562,	302.190857,	82.135101, 1233.003784
9000,	1243.910278,	0.000000,	37.211456,	833.454102,	855.025330,	62.925999, 3032.527100
